date,price
2011/3/25,10230
2011/3/26,10230
2011/3/27,10230
2011/3/28,10230
2011/3/29,10180
2011/3/30,10200
2011/3/31,10250
2011/4/1,10350
2011/4/2,10300
2011/4/3,10300
2011/4/4,10300
2011/4/5,10300
2011/4/6,10350
2011/4/7,10300
2011/4/8,10280
2011/4/9,10370
2011/4/10,10370
2011/4/11,10430
2011/4/12,10350
2011/4/13,10200
2011/4/14,10250
2011/4/15,10200
2011/4/16,10200
2011/4/17,10200
2011/4/18,10180
2011/4/19,10180
2011/4/20,10230
2011/4/21,10200
2011/4/22,10300
2011/4/23,10300
2011/4/24,10300
2011/4/25,10300
2011/4/26,10200
2011/4/27,10150
2011/4/28,10180
2011/4/29,10100
2011/4/30,10200
2011/5/1,10200
2011/5/2,10200
2011/5/3,10200
2011/5/4,10100
2011/5/5,10100
2011/5/6,9950
2011/5/7,9950
2011/5/8,9950
2011/5/9,9950
2011/5/10,9950
2011/5/11,9950
2011/5/12,9900
2011/5/13,9900
2011/5/14,9900
2011/5/15,9900
2011/5/16,9900
2011/5/17,9850
2011/5/18,9930
2011/5/19,10000
2011/5/20,9980
2011/5/21,9950
2011/5/22,9950
2011/5/23,9950
2011/5/24,9920
2011/5/25,9950
2011/5/26,10000
2011/5/27,9950
2011/5/28,9950
2011/5/29,9950
2011/5/30,9950
2011/6/1,9950
2011/6/2,9950
2011/6/3,10050
2011/6/4,10050
2011/6/5,10050
2011/6/6,10050
2011/6/7,10000
2011/6/8,10000
2011/6/9,10020
2011/6/10,10020
2011/6/11,9950
2011/6/12,9950
2011/6/13,9950
2011/6/14,9980
2011/6/15,10000
2011/6/16,10000
2011/6/17,9900
2011/6/18,9900
2011/6/19,9900
2011/6/20,9930
2011/6/21,9920
2011/6/22,9930
2011/6/23,9850
2011/6/24,9850
2011/6/25,9850
2011/6/26,9850
2011/6/27,9800
2011/6/28,9800
2011/6/29,9850
2011/6/30,9850
2011/7/1,9780
2011/7/2,9780
2011/7/3,9780
2011/7/4,9800
2011/7/5,9850
2011/7/6,9820
2011/7/7,9820
2011/7/8,9850
2011/7/9,9850
2011/7/10,9850
2011/7/11,9950
2011/7/12,9850
2011/7/13,9880
2011/7/14,9950
2011/7/15,9950
2011/7/16,9950
2011/7/17,9950
2011/7/18,9950
2011/7/19,9900
2011/7/20,9920
2011/7/21,9950
2011/7/22,9980
2011/7/23,9970
2011/7/24,9970
2011/7/25,9930
2011/7/26,9930
2011/7/27,9970
2011/7/28,9950
2011/7/29,9950
2011/7/30,9950
2011/7/31,9950
2011/8/1,10000
2011/8/2,10100
2011/8/3,10100
2011/8/4,10050
2011/8/5,9900
2011/8/6,9900
2011/8/7,9900
2011/8/8,9930
2011/8/9,9750
2011/8/10,9900
2011/8/11,9900
2011/8/12,9950
2011/8/13,9950
2011/8/14,9950
2011/8/15,9980
2011/8/16,9880
2011/8/17,9900
2011/8/18,9900
2011/8/19,9850
2011/8/20,9850
2011/8/21,9850
2011/8/22,9900
2011/8/23,9900
2011/8/24,9930
